id,title,production_year,contribution
1157, Pump Up the Volum          ,1990, casting
1162, Benny and Joon             ,1993, cinematography
1163, Benny and Joon             ,1993, film editing
1164, Benny and Joon             ,1993, casting
1165, Six Degrees of Separation  ,1993, producer
1170, Six Degrees of Separation  ,1993, cinematography
1171, Six Degrees of Separation  ,1993, film editing
1172, Six Degrees of Separation  ,1993, casting
1177, Bawang Bie Ji              ,1993, producer
1178, Bawang Bie Ji              ,1993, film editing
1179, In the Line of Fire        ,1993, producer
1184, In the Line of Fire        ,1993, cinematography
1185, In the Line of Fire        ,1993, casting
1186, Heavenly Creatures         ,1994, producer
1189, Heavenly Creatures         ,1994, cinematography
1190, Heavenly Creatures         ,1994, film editing
1194, Hoop Dreams                ,1994, producer
1199, Seven                      ,1995, cinematography
1200, Seven                      ,1995, film editing
1201, Seven                      ,1995, casting
1207, Shallow Grave              ,1994, producer
1208, Shallow Grave              ,1994, cinematography
1209, Shallow Grave              ,1994, film editing
1212, French Kiss                ,1995, producer
1215, French Kiss                ,1995, cinematography
1216, French Kiss                ,1995, film editing
1190, Braindead                  ,1992, producer
1220, Braindead                  ,1992, cinematography
1221, Clerks                     ,1994, producer
1224, Clerks                     ,1994, cinematography
1185, Apollo 13                  ,1995, casting
1230, Apollo 13                  ,1995, producer
1231, Apollo 13                  ,1995, cinematography
1232, Reservoir Dogs             ,1992, producer
1236, Reservoir Dogs             ,1992, film editing
1237, Reservoir Dogs             ,1992, casting
1240, Pulp Fiction               ,1994, producer
1236, Pulp Fiction               ,1994, film editing
1245, Yinshi Nan Nu              ,1994, producer
1246, Yinshi Nan Nu              ,1994, cinematography
1247, Yinshi Nan Nu              ,1994, film editing
1252, Short Cuts                 ,1993, producer
1255, Short Cuts                 ,1993, cinematography
1253, Short Cuts                 ,1993, film editing
1258, Legends of the Fall        ,1994, cinematography
1259, Legends of the Fall        ,1994, film editing
1260, Legends of the Fall        ,1994, casting
1265, Natural Born Killers       ,1994, film editing
1266, Natural Born Killers       ,1994, costume design
1268, In the Mouth of Madness    ,1995, producer
1272, In the Mouth of Madness    ,1995, cinematography
1273, In the Mouth of Madness    ,1995, film editing
1278, Forrest Gump               ,1994, producer
1279, Forrest Gump               ,1994, cinematography
1280, Forrest Gump               ,1994, casting
1082, Malcolm X                  ,1992, cinematography
1084, Malcolm X                  ,1992, casting
1283, Malcolm X                  ,1992, film editing
1287, Dead Again                 ,1991, producer
1288, Dead Again                 ,1991, cinematography
1289, Dead Again                 ,1991, film editing
1290, Dead Again                 ,1991, casting
1295, Jurassic Park              ,1993, producer
1296, Jurassic Park              ,1993, film editing
1185, Jurassic Park              ,1993, casting
1301, Clueless                   ,1995, producer
1302, Clueless                   ,1995, cinematography
1303, Clueless                   ,1995, film editing
1304, Clueless                   ,1995, casting
1305, Shadowlands                ,1993, producer
1309, Shadowlands                ,1993, cinematography
1310, Shadowlands                ,1993, film editing
1311, Shadowlands                ,1993, casting
1104, Amateur                    ,1994, producer
1314, Amateur                    ,1994, film editing
1315, Amateur                    ,1994, casting
1316, Amateur                    ,1994, costume design
1321, GoodFellas                 ,1990, producer
1322, GoodFellas                 ,1990, cinematography
1323, GoodFellas                 ,1990, film editing
1328, Little Women               ,1994, producer
1329, Little Women               ,1994, cinematography
1330, Little Women               ,1994, film editing
1335, While You Were Sleeping    ,1995, producer
1336, While You Were Sleeping    ,1995, film editing
1337, While You Were Sleeping    ,1995, casting
1345, Psycho                     ,1998, Music
1345, Psycho                     ,1960, Music
